mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.30,3.29
2,1000,0.31,6.48
4,1000,0.31,12.83
8,1000,0.30,27.12
16,1000,0.31,52.11
32,1000,0.36,88.14
64,1000,0.36,177.50
128,1000,0.48,265.28
256,1000,0.51,502.47
512,1000,0.59,873.54
1024,1000,0.68,1513.12
2048,1000,0.92,2222.59
4096,1000,1.31,3136.44
8192,1000,2.06,3971.10
16384,1000,4.16,3936.16
32768,1000,5.02,6527.62
65536,640,6.63,9888.43
131072,320,9.15,14327.60
262144,160,14.39,18217.03
524288,80,28.05,18689.00
1048576,40,65.80,15935.88
2097152,20,170.29,12315.31
4194304,10,384.26,10915.29
8388608,5,1190.06,7048.91
16777216,2,2809.48,5971.64
33554432,1,5670.48,5917.39
67108864,1,11590.41,5790.04
134217728,1,22794.79,5888.09
268435456,1,45202.28,5938.54
536870912,1,90599.42,5925.77
