mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.85,0.00
1,1000,1.82,0.55
2,1000,1.72,1.16
4,1000,1.79,2.23
8,1000,1.81,4.43
16,1000,1.74,9.20
32,1000,1.87,17.08
64,1000,1.84,34.69
128,1000,1.93,66.20
256,1000,1.98,129.44
512,1000,2.06,248.55
1024,1000,2.03,503.55
2048,1000,2.23,917.97
4096,1000,2.80,1463.90
8192,1000,3.49,2346.76
16384,1000,4.04,4051.06
32768,1000,5.17,6336.18
65536,640,7.15,9167.40
131072,320,11.66,11240.62
262144,160,20.11,13034.85
524288,80,47.01,11153.41
1048576,40,115.97,9041.75
2097152,20,270.56,7751.02
4194304,10,732.87,5723.09
8388608,5,1961.37,4276.92
16777216,2,4435.47,3782.51
33554432,1,8799.16,3813.37
67108864,1,17592.14,3814.71
134217728,1,35167.94,3816.48
268435456,1,71066.78,3777.23
536870912,1,141937.17,3782.45
