mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.79,0.00
1,1000,5.69,0.18
2,1000,5.72,0.35
4,1000,5.75,0.70
8,1000,5.67,1.41
16,1000,5.84,2.74
32,1000,5.74,5.57
64,1000,5.50,11.63
128,1000,5.67,22.58
256,1000,5.53,46.30
512,1000,7.34,69.74
1024,1000,7.51,136.29
2048,1000,7.59,269.98
4096,1000,8.12,504.18
8192,1000,9.71,844.07
16384,1000,17.48,937.19
32768,1000,24.88,1317.16
65536,640,45.03,1455.47
131072,320,87.89,1491.33
262144,160,66.53,3940.13
524288,80,104.67,5008.79
1048576,40,170.98,6132.57
2097152,20,356.05,5889.99
4194304,10,726.30,5774.93
8388608,5,1755.67,4778.01
16777216,2,3573.36,4695.08
33554432,1,7189.14,4667.38
67108864,1,14880.94,4509.72
134217728,1,29112.96,4610.24
268435456,1,57796.49,4644.49
536870912,1,115485.33,4648.82
