mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.85,0.00
1,1000,8.81,0.11
2,1000,8.50,0.24
4,1000,8.18,0.49
8,1000,8.40,0.95
16,1000,8.33,1.92
32,1000,8.39,3.81
64,1000,8.40,7.62
128,1000,8.37,15.29
256,1000,8.65,29.60
512,1000,10.86,47.16
1024,1000,10.89,94.05
2048,1000,13.12,156.12
4096,1000,14.07,291.05
8192,1000,16.44,498.24
16384,1000,26.87,609.76
32768,1000,36.92,887.54
65536,640,61.47,1066.18
131072,320,114.10,1148.75
262144,160,141.42,1853.63
524288,80,250.99,2088.86
1048576,40,467.83,2241.34
2097152,20,835.67,2509.56
4194304,10,1532.20,2737.45
8388608,5,3141.52,2670.24
16777216,2,8058.09,2082.03
33554432,1,12331.40,2721.06
67108864,1,32118.53,2089.41
134217728,1,47419.73,2830.42
268435456,1,96955.58,2768.64
536870912,1,200620.16,2676.06
