mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.52,1.94
2,1000,0.52,3.86
4,1000,0.50,7.93
8,1000,0.51,15.81
16,1000,0.50,31.79
32,1000,0.71,45.07
64,1000,0.85,75.59
128,1000,1.27,100.77
256,1000,1.26,203.37
512,1000,1.36,377.36
1024,1000,1.68,607.95
2048,1000,2.36,868.16
4096,1000,3.25,1260.98
8192,1000,4.89,1674.90
16384,1000,5.12,3202.34
32768,1000,5.88,5572.29
65536,640,7.30,8972.05
131072,320,9.69,13527.65
262144,160,15.84,16554.24
524288,80,28.47,18414.42
1048576,40,67.20,15603.15
2097152,20,176.29,11895.81
4194304,10,376.92,11127.81
8388608,5,901.63,9303.85
16777216,2,3012.87,5568.51
33554432,1,6768.12,4957.72
67108864,1,13630.33,4923.49
134217728,1,25841.38,5193.91
268435456,1,53554.49,5012.38
536870912,1,112415.17,4775.79
