mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.40,0.00
1,1000,1.42,0.71
2,1000,1.44,1.39
4,1000,1.44,2.79
8,1000,1.41,5.65
16,1000,1.41,11.37
32,1000,1.41,22.69
64,1000,1.54,41.51
128,1000,1.76,72.79
256,1000,1.78,143.44
512,1000,1.83,280.08
1024,1000,1.91,537.52
2048,1000,2.33,879.29
4096,1000,3.61,1133.62
8192,1000,3.75,2187.29
16384,1000,4.21,3887.45
32768,1000,5.22,6280.51
65536,640,6.90,9498.53
131072,320,10.50,12479.09
262144,160,17.77,14751.33
524288,80,38.00,13796.44
1048576,40,99.47,10541.87
2097152,20,237.13,8843.82
4194304,10,488.95,8578.26
8388608,5,1229.46,6823.02
16777216,2,4161.41,4031.62
33554432,1,10209.54,3286.58
67108864,1,20525.18,3269.59
134217728,1,41250.89,3253.69
268435456,1,80870.10,3319.34
536870912,1,158626.89,3384.49
