mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.31,0.0
1,1000,0.31,3.17
2,1000,0.33,6.15
4,1000,0.31,12.82
8,1000,0.32,25.52
16,1000,0.31,51.41
32,1000,0.37,86.14
64,1000,0.38,169.69
128,1000,0.5,255.83
256,1000,0.52,488.43
512,1000,0.61,840.8
1024,1000,0.71,1441.82
2048,1000,0.95,2150.16
4096,1000,1.34,3072.47
8192,1000,2.15,3816.22
16384,1000,4.42,3715.1
32768,1000,5.28,6219.73
65536,640,7.0,9380.23
131072,320,9.66,13609.45
262144,160,14.99,17528.05
524288,80,28.54,18394.98
1048576,40,66.52,15763.75
2097152,20,173.84,12065.55
4194304,10,369.34,11360.89
8388608,5,1149.1,7303.95
16777216,2,2803.47,5985.57
33554432,1,5795.43,5792.16
67108864,1,11724.65,5728.62
134217728,1,22748.81,5906.75
268435456,1,45851.13,5859.39
536870912,1,91371.85,5878.28
