mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.34,0.0
1,1000,9.12,0.11
2,1000,9.07,0.23
4,1000,9.03,0.45
8,1000,8.94,0.9
16,1000,8.85,1.83
32,1000,8.78,3.68
64,1000,8.5,7.54
128,1000,8.52,15.05
256,1000,8.67,29.57
512,1000,10.9,47.07
1024,1000,11.43,90.17
2048,1000,13.89,147.96
4096,1000,14.85,276.74
8192,1000,17.0,482.94
16384,1000,27.42,598.86
32768,1000,38.55,852.88
65536,640,64.7,1017.02
131072,320,120.68,1093.02
262144,160,162.92,1665.53
524288,80,268.3,1988.91
1048576,40,479.47,2202.13
2097152,20,867.48,2429.29
4194304,10,1605.21,2633.86
8388608,5,3406.06,2473.23
16777216,2,7076.11,2393.54
33554432,1,13808.3,2445.19
67108864,1,28118.82,2416.42
134217728,1,52858.35,2565.35
268435456,1,104101.8,2604.01
536870912,1,210038.95,2578.0
