mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.0
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.38,5.8
16,1000,1.38,11.61
32,1000,1.4,22.83
64,1000,1.71,37.54
128,1000,1.74,73.61
256,1000,2.91,94.66
512,1000,2.09,244.74
1024,1000,2.35,436.54
2048,1000,3.02,678.51
4096,1000,3.99,1027.71
8192,1000,5.57,1470.3
16384,1000,7.41,2210.54
32768,1000,10.13,3234.18
65536,640,14.71,4455.33
131072,320,23.72,5525.68
262144,160,33.52,7821.03
524288,80,56.45,9289.57
1048576,40,98.85,10608.1
2097152,20,185.55,11302.59
4194304,10,355.37,11802.51
8388608,5,699.03,12000.34
16777216,2,1384.57,12117.29
33554432,1,2763.79,12140.76
67108864,1,5508.72,12182.33
134217728,1,11045.28,12151.63
268435456,1,22087.85,12153.09
536870912,1,44633.52,12028.44
