mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.43,0.0
1,1000,9.53,0.11
2,1000,9.54,0.21
4,1000,9.5,0.42
8,1000,9.5,0.84
16,1000,9.51,1.68
32,1000,9.64,3.32
64,1000,9.59,6.69
128,1000,9.88,12.97
256,1000,9.93,25.83
512,1000,9.96,51.52
1024,1000,11.3,90.77
2048,1000,10.51,195.19
4096,1000,12.64,324.43
8192,1000,13.35,615.26
16384,1000,18.38,892.88
32768,1000,29.96,1095.61
65536,640,69.17,949.86
131072,320,96.88,1355.91
262144,160,147.45,1781.86
524288,80,227.17,2312.69
1048576,40,394.13,2665.25
2097152,20,737.92,2847.79
4194304,10,1453.45,2890.74
8388608,5,2896.59,2899.06
16777216,2,5873.54,2860.7
33554432,1,11700.27,2872.13
67108864,1,23281.63,2887.2
134217728,1,45396.17,2963.85
268435456,1,91899.31,2927.3
536870912,1,185135.05,2904.06
