mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.14,0.00
1,1000,5.27,0.19
2,1000,5.32,0.38
4,1000,5.30,0.75
8,1000,5.26,1.52
16,1000,5.24,3.05
32,1000,5.29,6.04
64,1000,5.29,12.10
128,1000,5.39,23.74
256,1000,5.26,48.65
512,1000,5.35,95.75
1024,1000,5.99,170.87
2048,1000,5.81,352.72
4096,1000,6.66,615.35
8192,1000,7.13,1148.79
16384,1000,9.45,1733.20
32768,1000,15.00,2184.56
65536,640,31.91,2054.02
131072,320,46.85,2797.53
262144,160,66.45,3944.86
524288,80,112.40,4664.37
1048576,40,183.47,5715.38
2097152,20,362.47,5785.76
4194304,10,747.91,5608.00
8388608,5,1754.62,4780.86
16777216,2,3603.34,4656.02
33554432,1,7035.54,4769.27
67108864,1,14041.02,4779.48
134217728,1,27606.05,4861.90
268435456,1,56246.99,4772.44
536870912,1,112109.94,4788.79
