mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.29,3.45
2,1000,0.29,6.83
4,1000,0.29,13.77
8,1000,0.29,27.48
16,1000,0.30,53.36
32,1000,0.31,104.23
64,1000,0.34,189.44
128,1000,0.40,323.51
256,1000,0.46,556.08
512,1000,0.63,808.07
1024,1000,0.69,1479.89
2048,1000,0.83,2475.77
4096,1000,1.68,2437.38
8192,1000,2.14,3832.49
16384,1000,2.55,6433.73
32768,1000,3.72,8799.50
65536,640,5.45,12026.22
131072,320,9.39,13952.95
262144,160,17.95,14603.11
524288,80,38.97,13453.38
1048576,40,105.79,9912.28
2097152,20,253.92,8259.05
4194304,10,630.59,6651.36
8388608,5,1894.69,4427.43
16777216,2,4393.55,3818.60
33554432,1,9132.19,3674.30
67108864,1,17737.84,3783.37
134217728,1,34976.06,3837.42
268435456,1,67282.29,3989.69
536870912,1,130392.65,4117.34
