mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.74
2,1000,0.23,8.84
4,1000,0.21,18.85
8,1000,0.22,37.19
16,1000,0.22,74.23
32,1000,0.25,127.22
64,1000,0.25,257.75
128,1000,0.36,352.78
256,1000,0.39,648.51
512,1000,0.46,1116.22
1024,1000,0.58,1774.58
2048,1000,0.78,2610.86
4096,1000,1.16,3540.38
8192,1000,1.91,4278.49
16384,1000,3.00,5456.44
32768,1000,5.04,6501.22
65536,640,8.16,8029.98
131072,320,14.76,8880.94
262144,160,14.00,18730.32
524288,80,25.15,20844.60
1048576,40,59.89,17508.18
2097152,20,158.03,13270.80
4194304,10,329.58,12726.08
8388608,5,1022.12,8207.11
16777216,2,3160.66,5308.13
33554432,1,6388.25,5252.52
67108864,1,12120.94,5536.61
134217728,1,22341.88,6007.45
268435456,1,49719.44,5399.00
536870912,1,100784.98,5326.89
