mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.79,0.00
1,1000,15.79,0.06
2,1000,15.78,0.13
4,1000,15.80,0.25
8,1000,15.80,0.51
16,1000,15.86,1.01
32,1000,15.81,2.02
64,1000,15.96,4.01
128,1000,16.51,7.75
256,1000,16.36,15.65
512,1000,16.58,30.89
1024,1000,17.06,60.03
2048,1000,38.77,52.83
4096,1000,39.07,104.83
8192,1000,39.75,206.10
16384,1000,41.84,391.56
32768,1000,49.06,667.87
65536,640,79.74,821.84
131072,320,140.70,931.60
262144,160,207.94,1260.65
524288,80,335.52,1562.60
1048576,40,553.85,1893.24
2097152,20,990.16,2118.00
4194304,10,2146.60,1953.93
8388608,5,4212.82,1991.21
16777216,2,8425.94,1991.14
33554432,1,16473.36,2036.89
67108864,1,32139.46,2088.05
134217728,1,63998.51,2097.20
268435456,1,127593.31,2103.84
536870912,1,261336.34,2054.33
