mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.36,0.73
2,1000,1.36,1.47
4,1000,1.37,2.93
8,1000,1.37,5.84
16,1000,1.37,11.67
32,1000,1.39,22.95
64,1000,1.68,38.12
128,1000,1.71,74.71
256,1000,2.00,127.91
512,1000,2.07,247.81
1024,1000,2.35,435.40
2048,1000,3.01,679.59
4096,1000,4.03,1017.60
8192,1000,5.56,1472.31
16384,1000,7.38,2219.25
32768,1000,10.00,3275.55
65536,640,14.88,4403.66
131072,320,23.56,5564.35
262144,160,33.69,7781.98
524288,80,56.34,9306.41
1048576,40,98.84,10608.98
2097152,20,185.99,11275.44
4194304,10,355.04,11813.51
8388608,5,697.65,12024.09
16777216,2,1384.99,12113.61
33554432,1,2765.32,12134.03
67108864,1,5507.27,12185.51
134217728,1,11064.11,12130.91
268435456,1,22103.46,12144.50
536870912,1,44711.46,12007.46
