mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.58,1.73
2,1000,0.59,3.40
4,1000,0.60,6.69
8,1000,0.58,13.78
16,1000,0.66,24.39
32,1000,0.69,46.14
64,1000,0.73,87.28
128,1000,0.94,135.51
256,1000,1.10,232.84
512,1000,1.26,407.10
1024,1000,1.41,723.93
2048,1000,1.97,1040.54
4096,1000,2.56,1602.36
8192,1000,3.17,2584.32
16384,1000,3.53,4637.53
32768,1000,4.91,6672.78
65536,640,6.42,10202.87
131072,320,10.38,12630.16
262144,160,18.06,14514.32
524288,80,38.16,13740.37
1048576,40,100.77,10405.40
2097152,20,241.79,8673.39
4194304,10,504.08,8320.78
8388608,5,1580.02,5309.18
16777216,2,5158.98,3252.04
33554432,1,10535.23,3184.97
67108864,1,20737.42,3236.12
134217728,1,40577.92,3307.65
268435456,1,78445.44,3421.94
536870912,1,151209.15,3550.52
