mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.51,0.00
1,1000,0.49,2.05
2,1000,0.50,3.97
4,1000,0.49,8.19
8,1000,0.50,16.13
16,1000,0.50,32.03
32,1000,0.63,50.82
64,1000,0.69,92.73
128,1000,2.90,44.07
256,1000,1.23,208.32
512,1000,1.38,371.74
1024,1000,1.65,621.16
2048,1000,2.37,863.98
4096,1000,3.35,1224.49
8192,1000,5.11,1601.72
16384,1000,8.09,2025.48
32768,1000,13.95,2348.56
65536,640,25.79,2541.49
131072,320,46.73,2804.65
262144,160,18.36,14277.22
524288,80,33.14,15821.10
1048576,40,75.54,13880.43
2097152,20,196.12,10693.29
4194304,10,411.18,10200.55
8388608,5,965.27,8690.46
16777216,2,3221.66,5207.63
33554432,1,7774.55,4315.93
67108864,1,15539.00,4318.74
134217728,1,30709.98,4370.49
268435456,1,53919.22,4978.47
536870912,1,112420.57,4775.56
