mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.33,0.00
1,1000,0.32,3.11
2,1000,0.32,6.29
4,1000,0.31,12.79
8,1000,0.33,24.09
16,1000,0.31,51.08
32,1000,0.39,81.61
64,1000,0.39,164.71
128,1000,0.53,243.32
256,1000,0.54,476.71
512,1000,0.62,820.84
1024,1000,0.72,1413.23
2048,1000,0.98,2093.77
4096,1000,1.36,3021.90
8192,1000,2.14,3825.51
16384,1000,4.49,3650.15
32768,1000,5.15,6364.28
65536,640,7.06,9280.71
131072,320,9.86,13288.73
262144,160,14.76,17760.27
524288,80,27.46,19094.51
1048576,40,67.08,15632.18
2097152,20,176.39,11889.05
4194304,10,367.52,11412.38
8388608,5,1154.52,7265.88
16777216,2,2854.10,5878.29
33554432,1,5972.20,5618.44
67108864,1,11945.01,5618.15
134217728,1,21758.76,6168.44
268435456,1,44895.21,5979.16
536870912,1,91921.35,5840.55
