mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.72
2,1000,1.44,1.39
4,1000,1.39,2.88
8,1000,1.43,5.59
16,1000,1.40,11.40
32,1000,1.38,23.20
64,1000,1.43,44.66
128,1000,1.56,81.89
256,1000,1.61,158.89
512,1000,1.57,325.09
1024,1000,1.65,621.07
2048,1000,1.94,1054.00
4096,1000,2.42,1690.92
8192,1000,2.94,2788.21
16384,1000,3.53,4640.44
32768,1000,4.41,7429.77
65536,640,6.38,10276.94
131072,320,10.31,12711.20
262144,160,17.62,14878.98
524288,80,37.77,13879.64
1048576,40,103.31,10149.50
2097152,20,234.15,8956.43
4194304,10,627.21,6687.29
8388608,5,1832.22,4578.38
16777216,2,3990.30,4204.50
33554432,1,8047.62,4169.49
67108864,1,16185.42,4146.25
134217728,1,32213.12,4166.55
268435456,1,65633.46,4089.92
536870912,1,142107.56,3777.92
