mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.34,0.00
1,1000,1.34,0.75
2,1000,1.34,1.49
4,1000,1.35,2.96
8,1000,1.32,6.05
16,1000,1.28,12.52
32,1000,1.33,24.00
64,1000,1.44,44.45
128,1000,1.48,86.76
256,1000,1.88,135.93
512,1000,1.94,264.22
1024,1000,2.12,483.89
2048,1000,2.81,728.31
4096,1000,3.80,1076.78
8192,1000,4.22,1942.71
16384,1000,5.96,2746.81
32768,1000,10.70,3062.78
65536,640,13.20,4963.12
131072,320,23.13,5667.87
262144,160,34.63,7570.30
524288,80,55.54,9440.02
1048576,40,104.08,10074.62
2097152,20,185.54,11303.22
4194304,10,353.67,11859.37
8388608,5,694.20,12083.83
16777216,2,1380.55,12152.55
33554432,1,2765.11,12134.94
67108864,1,5504.49,12191.67
134217728,1,11033.01,12165.11
268435456,1,22034.54,12182.48
536870912,1,44077.64,12180.12
