mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.25,0.00
1,1000,8.14,0.12
2,1000,8.11,0.25
4,1000,8.10,0.49
8,1000,8.10,0.99
16,1000,8.06,1.99
32,1000,8.11,3.94
64,1000,8.13,7.87
128,1000,8.17,15.66
256,1000,8.27,30.95
512,1000,10.43,49.10
1024,1000,10.74,95.37
2048,1000,13.84,147.96
4096,1000,14.99,273.17
8192,1000,16.52,495.81
16384,1000,26.29,623.18
32768,1000,36.42,899.79
65536,640,61.18,1071.16
131072,320,111.16,1179.18
262144,160,137.34,1908.69
524288,80,234.37,2237.01
1048576,40,437.19,2398.43
2097152,20,853.21,2457.94
4194304,10,1438.05,2916.65
8388608,5,3203.07,2618.93
16777216,2,6204.95,2703.84
33554432,1,13089.47,2563.47
67108864,1,26096.34,2571.58
134217728,1,48490.10,2767.94
268435456,1,94718.78,2834.03
536870912,1,200488.71,2677.81
