mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.52,1.91
2,1000,0.52,3.85
4,1000,0.52,7.74
8,1000,0.51,15.59
16,1000,0.52,30.97
32,1000,0.73,43.87
64,1000,0.71,90.03
128,1000,1.21,105.57
256,1000,1.25,205.31
512,1000,1.36,376.25
1024,1000,1.70,603.41
2048,1000,2.34,876.00
4096,1000,3.23,1267.56
8192,1000,4.94,1659.17
16384,1000,5.16,3176.55
32768,1000,6.13,5346.27
65536,640,7.56,8671.90
131072,320,10.16,12902.55
262144,160,15.78,16610.85
524288,80,29.22,17944.63
1048576,40,68.43,15323.06
2097152,20,172.46,12160.05
4194304,10,368.18,11391.94
8388608,5,874.94,9587.60
16777216,2,3502.80,4789.66
33554432,1,6907.70,4857.54
67108864,1,13439.29,4993.48
134217728,1,27212.23,4932.26
268435456,1,53434.02,5023.68
536870912,1,105701.92,5079.10
