mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.51,0.00
1,1000,1.53,0.66
2,1000,1.53,1.31
4,1000,1.53,2.61
8,1000,1.56,5.14
16,1000,1.54,10.37
32,1000,1.53,20.90
64,1000,1.63,39.26
128,1000,1.82,70.25
256,1000,1.85,138.03
512,1000,1.94,263.90
1024,1000,2.02,508.06
2048,1000,2.45,836.19
4096,1000,3.85,1064.26
8192,1000,3.97,2062.06
16384,1000,4.52,3623.69
32768,1000,5.33,6144.08
65536,640,7.16,9152.60
131072,320,11.29,11606.84
262144,160,18.86,13899.90
524288,80,39.49,13274.80
1048576,40,102.68,10212.11
2097152,20,241.54,8682.46
4194304,10,503.13,8336.36
8388608,5,1275.22,6578.19
16777216,2,4421.66,3794.32
33554432,1,10266.41,3268.37
67108864,1,20744.25,3235.06
134217728,1,41711.74,3217.74
268435456,1,80210.93,3346.62
536870912,1,159362.37,3368.87
