mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> 28.12, bandwidth[Mbytes/sec] (computed) -> 3828.28
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.28,0.0,28.12,0.0
1,1000,0.31,3.31,28.12,0.04
2,1000,0.31,6.54,28.12,0.07
4,1000,0.31,13.09,28.12,0.14
8,1000,0.3,26.59,28.12,0.28
16,1000,0.32,49.8,28.12,0.57
32,1000,0.33,99.59,28.12,1.14
64,1000,0.36,180.88,28.13,2.27
128,1000,0.41,317.19,28.15,4.55
256,1000,0.47,544.89,28.18,9.08
512,1000,0.64,800.75,28.25,18.12
1024,1000,0.73,1407.66,28.38,36.08
2048,1000,0.86,2384.28,28.65,71.48
4096,1000,1.81,2270.06,29.19,140.34
8192,1000,2.19,3760.36,30.26,270.76
16384,1000,2.76,5972.5,32.4,505.75
32768,1000,3.87,8508.54,36.67,893.49
65536,640,5.92,11148.96,45.23,1448.89
131072,320,10.37,12764.06,62.35,2102.28
262144,160,18.84,13991.57,96.58,2714.31
524288,80,41.88,12584.73,165.04,3176.73
1048576,40,111.21,9465.98,301.96,3472.52
2097152,20,262.16,8021.3,575.81,3642.08
4194304,10,680.59,6185.28,1123.51,3733.22
8388608,5,1951.51,4303.3,2218.9,3780.53
16777216,2,4438.73,3781.59,4409.68,3804.63
33554432,1,9210.52,3646.16,8791.24,3816.8
67108864,1,18425.03,3648.89,17554.36,3822.92
134217728,1,36155.64,3721.44,35080.61,3825.98
268435456,1,70107.15,3834.71,70133.1,3827.51
536870912,1,139855.78,3851.0,140238.09,3828.28
