mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
#lambda[usec] (computed) -> 82.61, bandwidth[Mbytes/sec] (computed) -> 2102.34
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,15.84,0.0,82.61,0.0
1,1000,15.84,0.06,82.61,0.01
2,1000,15.91,0.13,82.61,0.02
4,1000,15.86,0.25,82.62,0.05
8,1000,15.84,0.51,82.62,0.1
16,1000,15.89,1.01,82.62,0.19
32,1000,15.87,2.02,82.63,0.39
64,1000,15.97,4.01,82.64,0.77
128,1000,16.43,7.79,82.67,1.55
256,1000,16.4,15.62,82.74,3.09
512,1000,16.76,30.57,82.86,6.18
1024,1000,17.19,59.61,83.1,12.32
2048,1000,38.93,52.62,83.59,24.5
4096,1000,39.43,103.88,84.56,48.44
8192,1000,40.22,203.72,86.51,94.7
16384,1000,42.42,386.34,90.4,181.23
32768,1000,51.72,635.82,98.19,333.7
65536,640,82.18,797.98,113.78,576.01
131072,320,140.26,937.58,144.94,904.33
262144,160,211.88,1239.63,207.26,1264.78
524288,80,331.13,1586.85,331.92,1579.58
1048576,40,550.16,1909.99,581.22,1804.1
2097152,20,993.96,2115.73,1079.82,1942.13
4194304,10,2079.54,2021.91,2077.03,2019.38
8388608,5,4202.46,2001.94,4071.44,2060.35
16777216,2,8340.4,2013.84,8060.27,2081.47
33554432,1,16820.6,2000.27,16037.93,2092.19
67108864,1,32297.27,2079.25,31993.26,2097.59
134217728,1,63856.03,2102.84,63903.9,2100.31
268435456,1,127347.86,2109.58,127725.18,2101.66
536870912,1,255471.05,2103.44,255367.75,2102.34
