mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> 1.14, bandwidth[Mbytes/sec] (computed) -> 2906.11
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,9.43,0.0,1.14,0.0
1,1000,9.53,0.11,1.14,0.88
2,1000,9.54,0.21,1.14,1.76
4,1000,9.5,0.42,1.14,3.52
8,1000,9.5,0.84,1.14,7.03
16,1000,9.51,1.68,1.14,14.02
32,1000,9.64,3.32,1.15,27.91
64,1000,9.59,6.69,1.16,55.28
128,1000,9.88,12.97,1.18,108.5
256,1000,9.93,25.83,1.22,209.2
512,1000,9.96,51.52,1.31,390.3
1024,1000,11.3,90.77,1.49,688.17
2048,1000,10.51,195.19,1.84,1112.83
4096,1000,12.64,324.43,2.55,1609.38
8192,1000,13.35,615.26,3.95,2071.56
16384,1000,18.38,892.88,6.77,2418.88
32768,1000,29.96,1095.61,12.41,2640.21
65536,640,69.17,949.86,23.69,2766.79
131072,320,96.88,1355.91,46.24,2834.75
262144,160,147.45,1781.86,91.34,2869.99
524288,80,227.17,2312.69,181.54,2887.94
1048576,40,394.13,2665.25,361.95,2897.01
2097152,20,737.92,2847.79,722.77,2901.56
4194304,10,1453.45,2890.74,1444.4,2903.84
8388608,5,2896.59,2899.06,2887.66,2904.98
16777216,2,5873.54,2860.7,5774.19,2905.55
33554432,1,11700.27,2872.13,11547.25,2905.84
67108864,1,23281.63,2887.2,23093.36,2905.98
134217728,1,45396.17,2963.85,46185.59,2906.05
268435456,1,91899.31,2927.3,92370.04,2906.09
536870912,1,185135.05,2904.06,184738.95,2906.11
