mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> 98.54, bandwidth[Mbytes/sec] (computed) -> 3230.19
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.58,0.0,98.54,0.0
1,1000,0.61,1.63,98.54,0.01
2,1000,0.61,3.29,98.54,0.02
4,1000,0.61,6.53,98.54,0.04
8,1000,0.6,13.31,98.54,0.08
16,1000,0.66,24.26,98.55,0.16
32,1000,0.72,44.35,98.55,0.32
64,1000,0.79,80.91,98.56,0.65
128,1000,0.97,131.94,98.58,1.3
256,1000,1.14,225.81,98.62,2.6
512,1000,1.32,387.75,98.7,5.19
1024,1000,1.5,683.57,98.86,10.36
2048,1000,1.92,1073.09,99.17,20.65
4096,1000,2.78,1484.75,99.81,41.04
8192,1000,3.35,2454.91,101.08,81.05
16384,1000,3.7,4450.89,103.61,158.13
32768,1000,5.13,6415.92,108.68,301.51
65536,640,6.91,9553.22,118.82,551.57
131072,320,11.47,11520.28,139.09,942.33
262144,160,19.43,13570.05,179.65,1459.21
524288,80,41.76,12646.98,260.75,2010.67
1048576,40,110.11,9591.29,422.97,2479.1
2097152,20,254.7,8262.69,747.39,2805.97
4194304,10,568.99,7605.59,1396.24,3004.0
8388608,5,1546.76,5460.81,2693.94,3113.88
16777216,2,4978.89,3385.64,5289.34,3171.89
33554432,1,10829.41,3104.12,10480.13,3201.72
67108864,1,21514.49,3125.22,20861.72,3216.84
134217728,1,47151.84,2949.46,41624.9,3224.46
268435456,1,83744.94,3215.14,83151.26,3228.28
536870912,1,164458.96,3278.94,166203.99,3230.19
