mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> -15.06, bandwidth[Mbytes/sec] (computed) -> 4744.69
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       5.56             0                -15.06                       -0
        1            1000       5.56          0.18                -15.06                    -0.07
        2            1000       5.55          0.36                -15.05                    -0.13
        4            1000       5.56          0.72                -15.05                    -0.27
        8            1000       5.47          1.46                -15.05                    -0.53
       16            1000       5.69          2.82                -15.05                    -1.06
       32            1000       5.61          5.72                -15.05                    -2.13
       64            1000       5.55         11.54                -15.04                    -4.25
      128            1000       5.65         22.69                -15.03                    -8.52
      256            1000       5.68         45.22                   -15                   -17.07
      512            1000       7.25         70.76                -14.95                   -34.25
     1024            1000       7.36        139.49                -14.84                   -69.01
     2048            1000       7.58        270.93                -14.62                  -140.05
     4096            1000       8.15        503.93                -14.19                  -288.62
     8192            1000        9.3        884.14                -13.33                  -614.62
    16384            1000      16.39       1002.46                 -11.6                 -1412.21
    32768            1000      24.77       1323.15                 -8.15                 -4021.55
    65536             640      43.06       1524.27                 -1.24                   -52812
   131072             320      81.12       1619.85                 12.57                  10424.5
   262144             160      59.98       4388.28                  40.2                  6520.66
   524288              80      99.96       5252.57                 95.46                  5492.26
  1048576              40      169.6       6190.75                205.97                  5090.81
  2097152              20     341.52       6155.62                   427                  4911.32
  4194304              10     750.21       5603.81                869.06                  4826.24
  8388608               5    1725.16       4868.87               1753.18                  4784.79
 16777216               2    3571.61       4700.66               3521.42                  4764.34
 33554432               1    7171.94       4680.66               7057.89                  4754.18
 67108864               1    14173.4       4744.17               14130.8                  4749.11
134217728               1    28057.1       4788.99               28276.7                  4746.58
268435456               1    56014.5       4797.26               56568.5                  4745.32
536870912               1     113472       4734.37                113152                  4744.69
