mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> -58.69, bandwidth[Mbytes/sec] (computed) -> 4895.34
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.54             0                -58.69                       -0
        1            1000       0.54          1.85                -58.69                    -0.02
        2            1000       0.54          3.69                -58.69                    -0.03
        4            1000       0.54          7.37                -58.69                    -0.07
        8            1000       0.54          14.8                -58.69                    -0.14
       16            1000       0.53         30.47                -58.69                    -0.27
       32            1000       0.73         43.77                -58.68                    -0.55
       64            1000       0.75         85.95                -58.68                    -1.09
      128            1000       1.27         100.6                -58.66                    -2.18
      256            1000        1.3        197.93                -58.64                    -4.37
      512            1000       1.39        369.57                -58.58                    -8.74
     1024            1000       1.72         597.9                -58.48                   -17.51
     2048            1000       2.37        864.21                -58.27                   -35.15
     4096            1000       3.29       1247.11                -57.85                    -70.8
     8192            1000       5.03       1628.28                -57.01                  -143.68
    16384            1000        5.2       3159.77                -55.34                  -296.06
    32768            1000       6.01       5466.51                -51.99                  -630.26
    65536             640       7.45       8809.07                -45.29                 -1446.89
   131072             320      10.11       12993.3                 -31.9                 -4108.88
   262144             160      15.76       16691.6                 -5.11                 -51294.7
   524288              80      28.84       18347.3                 48.47                  10817.2
  1048576              40      67.55       15610.9                155.62                  6737.86
  2097152              20     177.42       11838.4                369.94                  5668.93
  4194304              10     375.28       11197.9                798.56                   5252.3
  8388608               5     896.38       9366.47               1655.82                  5066.14
 16777216               2     3170.6        5307.3               3370.32                  4977.92
 33554432               1    7012.04       4788.66               6799.34                  4934.96
 67108864               1    13940.5       4816.99               13657.4                  4913.75
134217728               1    27610.4       4868.64               27373.4                  4903.21
268435456               1      54612        4918.9               54805.5                  4897.96
536870912               1     109681       4897.68                109670                  4895.34
