mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> 1.21, bandwidth[Mbytes/sec] (computed) -> 3381.5
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       1.51             0                  1.21                        0
        1            1000       1.52          0.66                  1.21                     0.82
        2            1000       1.53          1.31                  1.21                     1.65
        4            1000       1.53          2.61                  1.22                     3.29
        8            1000       1.53          5.24                  1.22                     6.58
       16            1000       1.53          10.5                  1.22                    13.13
       32            1000       1.52         21.12                  1.22                    26.15
       64            1000       1.63         39.27                  1.23                    51.91
      128            1000       1.82         70.39                  1.25                   102.24
      256            1000       1.85        138.58                  1.29                   198.49
      512            1000       1.94        265.12                  1.37                   374.96
     1024            1000       1.99        515.18                  1.52                   675.07
     2048            1000       2.42        847.87                  1.82                  1125.46
     4096            1000        3.8       1080.37                  2.43                  1688.83
     8192            1000       3.98       2061.47                  3.64                  2252.64
    16384            1000       4.42       3707.23                  6.06                  2703.99
    32768            1000       5.44       6032.01                  10.9                  3005.04
    65536             640       7.25        9064.1                 20.59                  3182.18
   131072             320       11.2       11749.9                 39.98                  3278.83
   262144             160      18.95         13903                 78.74                  3329.38
   524288              80      39.07       13442.2                156.26                  3355.25
  1048576              40     105.08         10028                 311.3                  3368.34
  2097152              20      249.6       8427.66                621.39                  3374.92
  4194304              10     504.93       8332.45               1241.57                  3378.22
  8388608               5    1340.89       6319.34               2481.93                  3379.87
 16777216               2    4401.78       3834.48               4962.65                   3380.7
 33554432               1    10358.3       3240.94               9924.08                  3381.11
 67108864               1      20702       3242.22                 19847                  3381.32
134217728               1    41332.9       3247.53               39692.7                  3381.42
268435456               1    80998.4       3314.74               79384.2                  3381.47
536870912               1     157459       3410.35                158767                   3381.5
