#mpirun  --map-by node --mca pml ob1 --mca btl self,tcp -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#ct1pt-tnode007, ct1pt-tnode009
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.76,0.00
1,1000,16.86,0.06
2,1000,16.87,0.12
4,1000,16.86,0.24
8,1000,16.75,0.48
16,1000,16.91,0.95
32,1000,16.88,1.90
64,1000,17.24,3.71
128,1000,17.72,7.22
256,1000,17.71,14.46
512,1000,18.38,27.86
1024,1000,18.61,55.04
2048,1000,40.11,51.06
4096,1000,40.33,101.56
8192,1000,42.18,194.19
16384,1000,43.25,378.81
32768,1000,52.46,624.67
65536,640,60.93,1075.65
131072,320,121.67,1077.28
262144,160,163.37,1604.61
524288,80,253.76,2066.07
1048576,40,414.60,2529.15
2097152,20,745.85,2811.75
4194304,10,1522.59,2754.72
8388608,5,3333.64,2516.35
16777216,2,6949.22,2414.26
33554432,1,13850.58,2422.60
67108864,1,26950.70,2490.06
134217728,1,51763.24,2592.92
268435456,1,103369.66,2596.85
