#mpirun  --map-by node --mca pml ob1 --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.38
2,1000,0.30,6.73
4,1000,0.29,13.59
8,1000,0.29,27.42
16,1000,0.30,53.18
32,1000,0.30,107.64
64,1000,0.34,190.38
128,1000,0.42,306.21
256,1000,0.47,549.89
512,1000,0.63,808.13
1024,1000,0.73,1408.99
2048,1000,0.90,2278.26
4096,1000,1.75,2343.44
8192,1000,2.08,3931.19
16384,1000,2.67,6147.21
32768,1000,3.82,8578.59
65536,640,5.22,12556.39
131072,320,9.11,14391.42
262144,160,18.86,13903.10
524288,80,38.77,13521.46
1048576,40,90.95,11528.54
2097152,20,209.06,10031.17
4194304,10,433.17,9682.83
8388608,5,1502.57,5582.85
16777216,2,3737.31,4489.11
33554432,1,7534.86,4453.22
67108864,1,14949.74,4488.96
134217728,1,29911.59,4487.15
268435456,1,59747.20,4492.85
