#mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.98,4.07
8,1000,0.98,8.16
16,1000,0.98,16.28
32,1000,1.00,31.91
64,1000,1.17,54.73
128,1000,1.21,105.75
256,1000,1.43,178.77
512,1000,1.50,341.10
1024,1000,1.65,619.65
2048,1000,2.32,883.12
4096,1000,3.20,1278.99
8192,1000,4.47,1832.81
16384,1000,6.44,2543.86
32768,1000,8.60,3808.34
65536,640,12.45,5265.18
131072,320,18.77,6981.58
262144,160,31.91,8215.55
524288,80,54.26,9662.10
1048576,40,96.90,10821.54
2097152,20,185.43,11309.50
4194304,10,352.51,11898.38
8388608,5,694.43,12079.78
16777216,2,1382.21,12137.99
33554432,1,2754.97,12179.59
67108864,1,5508.34,12183.13
134217728,1,11015.32,12184.64
268435456,1,22055.48,12170.92
