#mpirun  --map-by node --mca pml ucx --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#ct1pt-tnode007, ct1pt-tnode009
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.97,0.00
1,1000,0.97,1.03
2,1000,0.99,2.02
4,1000,0.99,4.06
8,1000,0.98,8.18
16,1000,0.98,16.31
32,1000,0.99,32.19
64,1000,1.16,55.02
128,1000,1.21,105.86
256,1000,1.44,178.12
512,1000,1.50,341.62
1024,1000,1.64,622.77
2048,1000,2.33,879.64
4096,1000,3.19,1282.76
8192,1000,4.47,1834.49
16384,1000,6.26,2618.94
32768,1000,8.48,3864.62
65536,640,12.50,5241.38
131072,320,19.00,6899.01
262144,160,32.01,8189.38
524288,80,54.09,9692.36
1048576,40,96.93,10818.21
2097152,20,182.53,11489.34
4194304,10,352.31,11905.16
8388608,5,693.13,12102.52
16777216,2,1381.58,12143.52
33554432,1,2759.43,12159.93
67108864,1,5503.73,12193.35
134217728,1,11013.87,12186.25
268435456,1,22056.29,12170.47
