#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.25,0.0,-46.68,-0.0
1,1000,0.28,3.52,-46.68,-0.02
2,1000,0.28,7.15,-46.68,-0.04
4,1000,0.28,14.38,-46.68,-0.09
8,1000,0.28,28.98,-46.68,-0.17
16,1000,0.3,53.65,-46.67,-0.34
32,1000,0.3,106.2,-46.67,-0.69
64,1000,0.33,193.7,-46.66,-1.37
128,1000,0.39,325.44,-46.65,-2.74
256,1000,0.44,576.34,-46.62,-5.49
512,1000,0.62,829.42,-46.56,-11.0
1024,1000,0.67,1523.92,-46.45,-22.05
2048,1000,0.88,2336.79,-46.22,-44.31
4096,1000,1.77,2313.56,-45.77,-89.5
8192,1000,2.14,3828.2,-44.85,-182.64
16384,1000,2.67,6140.38,-43.03,-380.76
32768,1000,4.06,8066.63,-39.38,-832.04
65536,640,5.26,12465.84,-32.09,-2042.37
131072,320,10.43,12566.99,-17.5,-7490.04
262144,160,18.59,14098.09,11.68,22447.75
524288,80,38.64,13567.49,70.03,7486.31
1048576,40,91.22,11494.74,186.74,5615.08
2097152,20,206.89,10136.77,420.16,4991.29
4194304,10,438.18,9572.06,887.0,4728.63
8388608,5,1508.33,5561.51,1820.68,4607.4
16777216,2,3726.84,4501.73,3688.04,4549.09
33554432,1,7537.81,4451.48,7422.75,4520.48
67108864,1,14971.66,4482.39,14892.19,4506.31
134217728,1,29868.69,4493.59,29831.05,4499.26
268435456,1,59672.11,4498.51,59708.77,4495.75
