#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.2,0.0,-50.29,-0.0
1,1000,0.2,5.03,-50.29,-0.02
2,1000,0.19,10.26,-50.29,-0.04
4,1000,0.2,20.37,-50.28,-0.08
8,1000,0.2,40.83,-50.28,-0.16
16,1000,0.19,85.41,-50.28,-0.32
32,1000,0.23,138.55,-50.28,-0.64
64,1000,0.23,280.84,-50.28,-1.27
128,1000,0.3,420.49,-50.27,-2.55
256,1000,0.33,773.72,-50.25,-5.09
512,1000,0.4,1284.35,-50.21,-10.2
1024,1000,0.5,2061.45,-50.13,-20.43
2048,1000,0.74,2760.23,-49.97,-40.99
4096,1000,1.12,3661.37,-49.65,-82.5
8192,1000,1.85,4417.02,-49.01,-167.14
16384,1000,2.93,5583.04,-47.74,-343.19
32768,1000,4.72,6945.44,-45.2,-725.02
65536,640,8.39,7813.7,-40.11,-1634.02
131072,320,14.94,8775.98,-29.93,-4379.45
262144,160,13.72,19106.92,-9.57,-27385.69
524288,80,27.51,19056.46,31.14,16836.04
1048576,40,57.87,18119.11,112.57,9315.12
2097152,20,149.44,14033.47,275.42,7614.39
4194304,10,320.44,13089.12,601.12,6977.43
8388608,5,863.47,9714.96,1252.53,6697.31
16777216,2,2308.46,7267.7,2555.35,6565.52
33554432,1,5221.3,6426.46,5160.99,6501.55
67108864,1,10425.42,6437.04,10372.27,6470.03
134217728,1,20793.52,6454.79,20794.83,6454.38
268435456,1,41652.88,6444.58,41639.94,6446.59
