#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.19,0.0,-51.1,-0.0
1,1000,0.19,5.31,-51.1,-0.02
2,1000,0.19,10.58,-51.1,-0.04
4,1000,0.19,21.48,-51.1,-0.08
8,1000,0.19,43.08,-51.1,-0.16
16,1000,0.19,85.78,-51.1,-0.31
32,1000,0.23,139.63,-51.1,-0.63
64,1000,0.23,282.22,-51.09,-1.25
128,1000,0.31,414.18,-51.08,-2.51
256,1000,0.34,748.46,-51.06,-5.01
512,1000,0.38,1329.97,-51.02,-10.04
1024,1000,0.49,2073.32,-50.94,-20.1
2048,1000,0.74,2784.34,-50.78,-40.33
4096,1000,1.11,3674.2,-50.46,-81.17
8192,1000,1.87,4376.71,-49.83,-164.41
16384,1000,2.99,5478.79,-48.55,-337.45
32768,1000,4.75,6898.47,-46.0,-712.27
65536,640,8.19,8002.79,-40.91,-1602.0
131072,320,14.6,8978.99,-30.72,-4267.07
262144,160,13.11,19989.12,-10.33,-25368.43
524288,80,23.99,21854.25,30.43,17227.17
1048576,40,52.94,19805.57,111.97,9364.94
2097152,20,140.1,14969.37,275.04,7624.97
4194304,10,309.18,13566.06,601.18,6976.84
8388608,5,859.49,9760.0,1253.45,6692.41
16777216,2,2265.34,7406.06,2558.0,6558.71
33554432,1,5212.49,6437.31,5167.11,6493.85
67108864,1,10473.83,6407.29,10385.32,6461.9
134217728,1,20912.9,6417.94,20821.73,6446.04
268435456,1,41657.58,6443.86,41694.57,6438.14
