#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,16.76,0.0,92.21,0.0
1,1000,16.86,0.06,92.21,0.01
2,1000,16.87,0.12,92.21,0.02
4,1000,16.86,0.24,92.21,0.04
8,1000,16.75,0.48,92.21,0.09
16,1000,16.91,0.95,92.21,0.17
32,1000,16.88,1.9,92.22,0.35
64,1000,17.24,3.71,92.23,0.69
128,1000,17.72,7.22,92.26,1.39
256,1000,17.71,14.46,92.3,2.77
512,1000,18.38,27.86,92.4,5.54
1024,1000,18.61,55.04,92.6,11.06
2048,1000,40.11,51.06,93.0,22.02
4096,1000,40.33,101.56,93.79,43.67
8192,1000,42.18,194.19,95.37,85.9
16384,1000,43.25,378.81,98.53,166.29
32768,1000,52.46,624.67,104.85,312.52
65536,640,60.93,1075.65,117.49,557.78
131072,320,121.67,1077.28,142.78,917.99
262144,160,163.37,1604.61,193.36,1355.75
524288,80,253.76,2066.07,294.51,1780.2
1048576,40,414.6,2529.15,496.81,2110.6
2097152,20,745.85,2811.75,901.42,2326.49
4194304,10,1522.59,2754.72,1710.64,2451.89
8388608,5,3333.64,2516.35,3329.07,2519.8
16777216,2,6949.22,2414.26,6565.94,2555.19
33554432,1,13850.58,2422.6,13039.68,2573.26
67108864,1,26950.7,2490.06,25987.15,2582.39
134217728,1,51763.24,2592.92,51882.09,2586.98
268435456,1,103369.66,2596.85,103671.97,2589.28
