#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.98,0.0,3.95,0.0
1,1000,0.98,1.02,3.95,0.25
2,1000,0.99,2.03,3.95,0.51
4,1000,0.98,4.07,3.95,1.01
8,1000,0.98,8.15,3.95,2.02
16,1000,0.98,16.32,3.95,4.05
32,1000,1.01,31.78,3.96,8.09
64,1000,1.15,55.63,3.96,16.17
128,1000,1.2,106.62,3.96,32.29
256,1000,1.42,180.28,3.97,64.42
512,1000,1.5,341.62,4.0,128.16
1024,1000,1.66,618.5,4.04,253.65
2048,1000,2.31,886.18,4.12,496.93
4096,1000,3.19,1282.68,4.29,954.88
8192,1000,4.47,1830.87,4.63,1770.82
16384,1000,6.25,2622.76,5.3,3091.76
32768,1000,8.46,3873.85,6.65,4930.86
65536,640,12.36,5302.56,9.34,7018.2
131072,320,18.76,6987.49,14.72,8902.53
262144,160,32.07,8173.44,25.49,10282.97
524288,80,54.19,9674.66,47.03,11147.22
1048576,40,96.87,10824.53,90.11,11636.22
2097152,20,182.27,11505.77,176.27,11897.16
4194304,10,352.48,11899.25,348.59,12032.08
8388608,5,692.88,12106.87,693.23,12100.69
16777216,2,1381.57,12143.6,1382.52,12135.29
33554432,1,2766.29,12129.75,2761.08,12152.66
67108864,1,5520.22,12156.91,5518.2,12161.36
134217728,1,11016.36,12183.49,11032.45,12165.72
268435456,1,22067.75,12164.15,22060.95,12167.9
