#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.97,0.0,3.58,0.0
1,1000,0.97,1.03,3.58,0.28
2,1000,0.99,2.02,3.58,0.56
4,1000,0.99,4.06,3.58,1.12
8,1000,0.98,8.18,3.58,2.24
16,1000,0.98,16.31,3.58,4.47
32,1000,0.99,32.19,3.58,8.94
64,1000,1.16,55.02,3.58,17.86
128,1000,1.21,105.86,3.59,35.67
256,1000,1.44,178.12,3.6,71.12
512,1000,1.5,341.62,3.62,141.42
1024,1000,1.64,622.77,3.66,279.59
2048,1000,2.33,879.64,3.75,546.63
4096,1000,3.19,1282.76,3.91,1046.3
8192,1000,4.47,1834.49,4.25,1927.02
16384,1000,6.26,2618.94,4.92,3327.47
32768,1000,8.48,3864.62,6.27,5226.7
65536,640,12.5,5241.38,8.96,7314.04
131072,320,19.0,6899.01,14.34,9138.9
262144,160,32.01,8189.38,25.11,10441.48
524288,80,54.09,9692.36,46.63,11242.69
1048576,40,96.93,10818.21,89.69,11691.25
2097152,20,182.53,11489.34,175.8,11929.23
4194304,10,352.31,11905.16,348.02,12051.89
8388608,5,693.13,12102.52,692.46,12114.17
16777216,2,1381.58,12143.52,1381.35,12145.55
33554432,1,2759.43,12159.93,2759.12,12161.3
67108864,1,5503.73,12193.35,5514.65,12169.19
134217728,1,11013.87,12186.25,11025.73,12173.14
268435456,1,22056.29,12170.47,22047.88,12175.12
