#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,8.01,0.0,-33.09,-0.0
1,1000,8.08,0.12,-33.08,-0.03
2,1000,8.11,0.25,-33.08,-0.06
4,1000,8.08,0.49,-33.08,-0.12
8,1000,8.05,0.99,-33.08,-0.24
16,1000,8.1,1.98,-33.08,-0.48
32,1000,8.15,3.93,-33.08,-0.97
64,1000,8.12,7.89,-33.07,-1.94
128,1000,8.57,14.93,-33.04,-3.87
256,1000,8.65,29.61,-33.0,-7.76
512,1000,8.7,58.87,-32.92,-15.55
1024,1000,9.57,106.96,-32.76,-31.26
2048,1000,9.2,222.58,-32.44,-63.14
4096,1000,10.81,378.85,-31.79,-128.84
8192,1000,11.8,693.99,-30.5,-268.63
16384,1000,15.53,1054.77,-27.91,-587.1
32768,1000,26.03,1258.88,-22.73,-1441.74
65536,640,56.88,1152.1,-12.37,-5297.56
131072,320,81.25,1613.22,8.34,15709.88
262144,160,123.18,2128.12,49.77,5266.92
524288,80,196.31,2670.74,132.63,3953.05
1048576,40,327.91,3197.74,298.34,3514.67
2097152,20,625.32,3353.7,629.77,3330.02
4194304,10,1233.68,3399.83,1292.63,3244.79
8388608,5,2440.83,3436.78,2618.34,3203.79
16777216,2,5052.03,3320.89,5269.77,3183.67
33554432,1,10474.99,3203.29,10572.62,3173.71
67108864,1,20664.22,3247.59,21178.32,3168.75
134217728,1,42161.33,3183.43,42389.73,3166.28
268435456,1,85087.2,3154.83,84812.54,3165.04
