#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.55,0.0,-125.88,-0.0
1,1000,0.65,1.54,-125.88,-0.01
2,1000,0.65,3.08,-125.88,-0.02
4,1000,0.66,6.1,-125.88,-0.03
8,1000,0.64,12.42,-125.88,-0.06
16,1000,0.7,22.9,-125.88,-0.13
32,1000,0.7,45.72,-125.88,-0.25
64,1000,0.94,68.36,-125.87,-0.51
128,1000,1.05,121.82,-125.85,-1.02
256,1000,1.21,211.64,-125.82,-2.03
512,1000,1.16,440.18,-125.75,-4.07
1024,1000,1.5,682.74,-125.62,-8.15
2048,1000,1.81,1129.78,-125.36,-16.34
4096,1000,2.72,1504.68,-124.84,-32.81
8192,1000,3.4,2412.67,-123.8,-66.17
16384,1000,3.67,4463.26,-121.73,-134.6
32768,1000,5.21,6294.09,-117.57,-278.72
65536,640,6.43,10199.95,-109.25,-599.87
131072,320,11.43,11463.89,-92.62,-1415.23
262144,160,20.03,13084.87,-59.35,-4417.16
524288,80,39.84,13161.22,7.19,72914.18
1048576,40,94.3,11119.7,140.26,7475.68
2097152,20,212.46,9870.71,406.41,5160.14
4194304,10,407.62,10289.84,938.71,4468.15
8388608,5,879.27,9540.43,2003.31,4187.38
16777216,2,3218.9,5212.1,4132.5,4059.82
33554432,1,8443.49,3974.0,8390.88,3998.92
67108864,1,17068.5,3931.74,16907.65,3969.14
134217728,1,34056.48,3941.03,33941.19,3954.42
268435456,1,68005.79,3947.24,68008.26,3947.1
