#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.41,0.0,-124.56,-0.0
1,1000,0.41,2.47,-124.56,-0.01
2,1000,0.39,5.08,-124.56,-0.02
4,1000,0.4,10.09,-124.56,-0.03
8,1000,0.4,20.09,-124.56,-0.06
16,1000,0.4,40.41,-124.56,-0.13
32,1000,0.55,58.03,-124.56,-0.26
64,1000,0.55,115.6,-124.55,-0.51
128,1000,0.92,139.4,-124.54,-1.03
256,1000,0.91,280.82,-124.52,-2.06
512,1000,1.14,450.84,-124.47,-4.11
1024,1000,1.37,744.77,-124.38,-8.23
2048,1000,2.11,972.56,-124.19,-16.49
4096,1000,2.99,1370.27,-123.83,-33.08
8192,1000,4.82,1698.65,-123.09,-66.55
16384,1000,7.39,2217.52,-121.61,-134.72
32768,1000,12.96,2527.81,-118.66,-276.15
65536,640,24.71,2652.4,-112.75,-581.23
131072,320,44.72,2930.87,-100.94,-1298.48
262144,160,14.68,17857.37,-77.32,-3390.3
524288,80,26.02,20150.18,-30.08,-17429.95
1048576,40,56.12,18682.97,64.4,16281.15
2097152,20,144.94,14468.76,253.37,8276.96
4194304,10,301.82,13896.56,631.31,6643.83
8388608,5,605.78,13847.68,1387.18,6047.24
16777216,2,1891.08,8871.76,2898.93,5787.39
33554432,1,5560.43,6034.5,5922.41,5665.67
67108864,1,11938.23,5621.34,11969.39,5606.71
134217728,1,23878.02,5620.97,24063.35,5577.68
268435456,1,48490.06,5535.89,48251.26,5563.28
