#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec computed
0,1000,0.39,0.0,-104.97,-0.0
1,1000,0.4,2.48,-104.97,-0.01
2,1000,0.4,5.02,-104.97,-0.02
4,1000,0.4,10.03,-104.97,-0.04
8,1000,0.4,20.15,-104.96,-0.08
16,1000,0.4,40.16,-104.96,-0.15
32,1000,0.56,56.76,-104.96,-0.3
64,1000,0.55,115.95,-104.95,-0.61
128,1000,0.9,142.45,-104.94,-1.22
256,1000,0.94,272.57,-104.92,-2.44
512,1000,1.13,453.65,-104.87,-4.88
1024,1000,1.34,764.73,-104.78,-9.77
2048,1000,2.09,978.65,-104.6,-19.58
4096,1000,3.0,1367.45,-104.24,-39.29
8192,1000,4.8,1707.93,-103.51,-79.14
16384,1000,7.19,2278.1,-102.06,-160.54
32768,1000,13.77,2380.38,-99.15,-330.49
65536,640,25.1,2610.98,-93.33,-702.17
131072,320,45.78,2862.99,-81.7,-1604.26
262144,160,13.66,19193.34,-58.44,-4485.75
524288,80,24.42,21466.87,-11.91,-44010.38
1048576,40,53.36,19650.35,81.14,12923.03
2097152,20,139.75,15006.31,267.25,7847.28
4194304,10,295.0,14218.04,639.46,6559.16
8388608,5,620.0,13530.09,1383.88,6061.66
16777216,2,1948.37,8610.88,2872.73,5840.17
33554432,1,5597.11,5994.95,5850.42,5735.39
67108864,1,11918.8,5630.51,11805.81,5684.4
134217728,1,23858.99,5625.46,23716.58,5659.24
268435456,1,47558.2,5644.36,47538.12,5646.74
