mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -178.88, bandwidth[Mbytes/sec] (computed) -> 5271.64
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.22,0.0,-178.88,-0.0
1,1000,0.23,4.41,-178.88,-0.01
2,1000,0.23,8.78,-178.88,-0.01
4,1000,0.23,17.57,-178.88,-0.02
8,1000,0.23,35.08,-178.88,-0.04
16,1000,0.23,69.61,-178.88,-0.09
32,1000,0.25,129.78,-178.87,-0.18
64,1000,0.25,257.26,-178.87,-0.36
128,1000,0.26,488.4,-178.86,-0.72
256,1000,0.28,906.62,-178.83,-1.43
512,1000,0.42,1232.79,-178.78,-2.86
1024,1000,0.45,2297.21,-178.68,-5.73
2048,1000,0.59,3457.97,-178.49,-11.47
4096,1000,0.86,4781.09,-178.1,-23.0
8192,1000,1.4,5841.36,-177.32,-46.2
16384,1000,2.35,6972.33,-175.77,-93.21
32768,1000,3.51,9336.06,-172.65,-189.79
65536,640,5.7,11500.33,-166.43,-393.79
131072,320,8.63,15188.39,-153.97,-851.27
262144,160,14.94,17550.17,-129.06,-2031.1
524288,80,40.72,12875.16,-79.25,-6615.6
1048576,40,81.19,12915.3,20.38,51454.42
2097152,20,153.8,13635.94,219.64,9548.27
4194304,10,397.46,10555.11,618.15,6785.22
8388608,5,1107.91,7571.87,1415.19,5927.57
16777216,2,2546.27,6589.11,3009.25,5575.22
33554432,1,5912.55,5675.13,6197.38,5414.29
67108864,1,11830.3,5672.66,12573.64,5337.27
134217728,1,23819.27,5634.85,25326.15,5299.57
268435456,1,49598.26,5412.54,50831.19,5280.92
536870912,1,102966.02,5214.06,101841.25,5271.64
