mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -68.82, bandwidth[Mbytes/sec] (computed) -> 5486.73
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.44,0.0,-68.82,-0.0
1,1000,0.44,2.25,-68.82,-0.01
2,1000,0.44,4.52,-68.82,-0.03
4,1000,0.44,9.02,-68.82,-0.06
8,1000,0.44,18.13,-68.82,-0.12
16,1000,0.44,36.21,-68.81,-0.23
32,1000,0.62,51.56,-68.81,-0.47
64,1000,0.61,104.0,-68.81,-0.93
128,1000,1.0,127.82,-68.79,-1.86
256,1000,1.13,226.98,-68.77,-3.72
512,1000,1.22,419.12,-68.72,-7.45
1024,1000,1.47,697.03,-68.63,-14.92
2048,1000,2.25,909.2,-68.44,-29.92
4096,1000,3.25,1259.95,-68.07,-60.17
8192,1000,5.19,1578.44,-67.32,-121.68
16384,1000,4.65,3527.89,-65.83,-248.89
32768,1000,5.46,6004.17,-62.84,-521.44
65536,640,6.74,9721.35,-56.86,-1152.49
131072,320,9.52,13773.62,-44.91,-2918.43
262144,160,12.87,20376.78,-21.01,-12479.44
524288,80,25.7,20406.56,26.81,19559.05
1048576,40,51.39,20419.7,122.43,8564.82
2097152,20,139.56,15029.68,313.67,6685.77
4194304,10,295.0,14218.45,696.17,6024.86
8388608,5,643.41,13038.72,1461.15,5741.1
16777216,2,2128.48,7882.69,2991.12,5609.02
33554432,1,5920.64,5667.39,6051.05,5545.22
67108864,1,12506.62,5365.93,12170.92,5513.87
134217728,1,25040.43,5360.11,24410.65,5498.33
268435456,1,49492.11,5423.86,48890.12,5490.59
536870912,1,97400.45,5512.11,97849.06,5486.73
