mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -1.17, bandwidth[Mbytes/sec] (computed) -> 4284.57
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.43,0.0,-1.17,-0.0
1,1000,0.43,2.33,-1.17,-0.86
2,1000,0.43,4.63,-1.17,-1.71
4,1000,0.43,9.21,-1.17,-3.43
8,1000,0.43,18.55,-1.17,-6.86
16,1000,0.43,36.88,-1.16,-13.75
32,1000,0.47,67.68,-1.16,-27.59
64,1000,0.48,134.75,-1.15,-55.54
128,1000,0.58,222.27,-1.14,-112.54
256,1000,0.62,414.7,-1.11,-231.14
512,1000,0.83,617.35,-1.05,-488.65
1024,1000,0.9,1137.91,-0.93,-1103.11
2048,1000,1.07,1917.9,-0.69,-2971.2
4096,1000,1.5,2740.33,-0.21,-19386.2
8192,1000,1.98,4136.89,0.74,11000.2
16384,1000,3.33,4917.12,2.66,6167.02
32768,1000,5.11,6414.71,6.48,5056.24
65536,640,9.33,7026.35,14.13,4638.5
131072,320,17.96,7299.7,29.42,4454.49
262144,160,34.58,7582.11,60.02,4367.86
524288,80,83.43,6284.42,121.2,4325.79
1048576,40,169.68,6179.59,243.57,4305.06
2097152,20,337.18,6219.71,488.3,4294.77
4194304,10,669.58,6264.05,977.78,4289.64
8388608,5,1388.88,6039.84,1956.72,4287.08
16777216,2,3745.56,4479.66,3914.6,4285.8
33554432,1,7953.13,4219.06,7830.37,4285.16
67108864,1,15941.86,4209.62,15661.91,4284.85
134217728,1,31839.12,4215.51,31324.99,4284.69
268435456,1,63775.61,4209.06,62651.14,4284.61
536870912,1,124587.37,4309.19,125303.45,4284.57
