mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> 34.69, bandwidth[Mbytes/sec] (computed) -> 5093.32
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,5.46,0.0,34.69,0.0
1,1000,5.54,0.18,34.69,0.03
2,1000,5.55,0.36,34.69,0.06
4,1000,5.54,0.72,34.69,0.12
8,1000,5.54,1.45,34.69,0.23
16,1000,5.54,2.89,34.69,0.46
32,1000,5.54,5.78,34.69,0.92
64,1000,5.56,11.52,34.7,1.84
128,1000,5.63,22.72,34.71,3.69
256,1000,5.67,45.11,34.74,7.37
512,1000,5.72,89.51,34.79,14.72
1024,1000,6.36,161.15,34.89,29.35
2048,1000,6.16,332.31,35.09,58.37
4096,1000,7.19,569.96,35.49,115.41
8192,1000,7.59,1079.53,36.29,225.71
16384,1000,9.94,1647.5,37.9,432.28
32768,1000,16.05,2041.16,41.12,796.94
65536,640,30.95,2117.26,47.55,1378.29
131072,320,43.87,2987.46,60.41,2169.65
262144,160,63.05,4157.58,86.14,3043.33
524288,80,98.18,5340.06,137.59,3810.55
1048576,40,166.98,6279.71,240.49,4360.15
2097152,20,314.59,6666.37,446.3,4699.02
4194304,10,674.9,6214.74,857.91,4889.01
8388608,5,1625.56,5160.5,1681.12,4989.88
16777216,2,3426.63,4896.13,3327.56,5041.89
33554432,1,6894.45,4866.89,6620.44,5068.31
67108864,1,13472.26,4981.76,13206.2,5081.62
134217728,1,26768.59,5015.71,26377.71,5088.3
268435456,1,53011.78,5066.78,52720.73,5091.65
536870912,1,105113.06,5111.36,105406.77,5093.32
