mpirun  --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
#lambda[usec] (computed) -> -50.08, bandwidth[Mbytes/sec] (computed) -> 4538.01
#bytes	#repetitions	t[usec]	Mbytes/sec	t[usec] (computed)	Mbytes/sec (computed)
0	1000	0.24	0.0	-50.08	-0.0
1	1000	0.26	3.84	-50.08	-0.02
2	1000	0.26	7.7	-50.07	-0.04
4	1000	0.26	15.31	-50.07	-0.08
8	1000	0.26	30.75	-50.07	-0.16
16	1000	0.28	56.21	-50.07	-0.32
32	1000	0.29	109.65	-50.07	-0.64
64	1000	0.32	198.67	-50.06	-1.28
128	1000	0.37	346.43	-50.05	-2.56
256	1000	0.44	581.88	-50.02	-5.12
512	1000	0.61	834.67	-49.96	-10.25
1024	1000	0.67	1521.48	-49.85	-20.54
2048	1000	0.87	2366.65	-49.62	-41.27
4096	1000	1.68	2435.38	-49.17	-83.3
8192	1000	1.96	4175.35	-48.27	-169.71
16384	1000	2.51	6515.97	-46.46	-352.62
32768	1000	3.84	8531.51	-42.85	-764.69
65536	640	5.16	12708.69	-35.63	-1839.48
131072	320	10.1	12978.41	-21.18	-6188.53
262144	160	17.9	14647.1	7.72	33976.02
524288	80	36.95	14190.26	65.51	8003.62
1048576	40	86.03	12188.6	181.09	5790.42
2097152	20	205.64	10198.24	412.25	5087.07
4194304	10	431.97	9709.65	874.58	4795.81
8388608	5	1482.84	5657.13	1799.23	4662.33
16777216	2	3671.55	4569.52	3648.54	4598.34
33554432	1	7380.74	4546.21	7347.15	4567.0
67108864	1	14781.19	4540.15	14744.37	4551.49
134217728	1	29611.22	4532.66	29538.81	4543.78
268435456	1	59138.31	4539.11	59127.7	4539.93
536870912	1	118284.04	4538.83	118305.47	4538.01
