mpirun  --map-by core --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
#lambda[usec] (computed) -> -56.03, bandwidth[Mbytes/sec] (computed) -> 6486.28
#bytes	#repetitions	t[usec]	Mbytes/sec	t[usec] (computed)	Mbytes/sec (computed)
0	1000	0.19	0.0	-56.03	-0.0
1	1000	0.19	5.13	-56.03	-0.02
2	1000	0.2	10.11	-56.03	-0.04
4	1000	0.2	19.75	-56.03	-0.07
8	1000	0.19	42.06	-56.03	-0.14
16	1000	0.19	84.31	-56.03	-0.29
32	1000	0.22	143.48	-56.03	-0.57
64	1000	0.22	285.43	-56.02	-1.14
128	1000	0.3	422.07	-56.01	-2.29
256	1000	0.33	776.8	-55.99	-4.57
512	1000	0.37	1385.04	-55.95	-9.15
1024	1000	0.49	2085.57	-55.87	-18.33
2048	1000	0.74	2770.54	-55.72	-36.76
4096	1000	1.11	3683.12	-55.4	-73.94
8192	1000	1.86	4400.25	-54.77	-149.58
16384	1000	2.96	5539.42	-53.5	-306.22
32768	1000	4.8	6821.64	-50.98	-642.8
65536	640	8.28	7911.12	-45.92	-1427.14
131072	320	15.02	8728.23	-35.81	-3660.14
262144	160	12.59	20825.54	-15.59	-16815.49
524288	80	24.83	21112.73	24.85	21095.52
1048576	40	52.63	19922.81	105.74	9916.74
2097152	20	144.49	14514.11	267.51	7839.59
4194304	10	298.62	14045.44	591.05	7096.39
8388608	5	863.41	9715.67	1238.13	6775.24
16777216	2	2241.31	7485.45	2532.29	6625.32
33554432	1	5141.63	6526.04	5120.61	6552.82
67108864	1	10339.37	6490.61	10297.24	6517.17
134217728	1	20681.63	6489.71	20650.52	6499.48
268435456	1	41249.85	6507.55	41357.07	6490.68
536870912	1	82827.21	6481.82	82770.18	6486.28
