mpirun  --map-by core --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
#lambda[usec] (computed) -> -50.47, bandwidth[Mbytes/sec] (computed) -> 6503.14
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.2,0.0,-50.47,-0.0
1,1000,0.2,5.01,-50.47,-0.02
2,1000,0.2,9.93,-50.47,-0.04
4,1000,0.2,19.68,-50.47,-0.08
8,1000,0.19,42.24,-50.47,-0.16
16,1000,0.19,84.56,-50.47,-0.32
32,1000,0.22,145.25,-50.47,-0.63
64,1000,0.22,291.14,-50.47,-1.27
128,1000,0.31,408.46,-50.46,-2.54
256,1000,0.35,737.91,-50.44,-5.08
512,1000,0.41,1260.24,-50.4,-10.16
1024,1000,0.5,2059.28,-50.32,-20.35
2048,1000,0.74,2768.91,-50.16,-40.83
4096,1000,1.16,3531.94,-49.84,-82.18
8192,1000,2.07,3961.61,-49.21,-166.46
16384,1000,3.31,4943.75,-47.95,-341.66
32768,1000,5.42,6045.94,-45.43,-721.24
65536,640,8.97,7306.61,-40.39,-1622.53
131072,320,16.36,8009.99,-30.31,-4324.75
262144,160,15.16,17289.71,-10.14,-25852.75
524288,80,27.48,19075.5,30.2,17363.34
1048576,40,56.97,18407.08,110.87,9458.13
2097152,20,145.93,14370.83,272.21,7704.31
4194304,10,305.27,13739.8,594.89,7050.61
8388608,5,844.14,9937.51,1240.24,6763.67
16777216,2,2246.11,7469.44,2530.96,6628.78
33554432,1,5144.62,6522.24,5112.4,6563.34
67108864,1,10319.33,6503.22,10275.28,6531.1
134217728,1,20674.76,6491.86,20601.04,6515.09
268435456,1,41305.16,6498.84,41252.56,6507.12
536870912,1,82521.26,6505.85,82555.59,6503.14
