mpirun  --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -45.71, bandwidth[Mbytes/sec] (computed) -> 3221.48
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,8.11,0.0,-45.71,-0.0
1,1000,8.21,0.12,-45.71,-0.02
2,1000,8.21,0.24,-45.71,-0.04
4,1000,8.19,0.49,-45.71,-0.09
8,1000,8.2,0.98,-45.71,-0.18
16,1000,8.19,1.95,-45.71,-0.35
32,1000,8.2,3.9,-45.7,-0.7
64,1000,8.21,7.8,-45.69,-1.4
128,1000,8.61,14.87,-45.67,-2.8
256,1000,8.6,29.77,-45.63,-5.61
512,1000,8.67,59.05,-45.55,-11.24
1024,1000,9.72,105.3,-45.4,-22.56
2048,1000,9.2,222.64,-45.08,-45.43
4096,1000,11.01,371.97,-44.44,-92.17
8192,1000,11.72,699.27,-43.17,-189.76
16384,1000,15.91,1030.06,-40.63,-403.29
32768,1000,26.13,1254.17,-35.54,-922.04
65536,640,57.46,1140.68,-25.36,-2583.82
131072,320,81.86,1601.13,-5.01,-26136.3
262144,160,123.52,2122.42,35.68,7346.43
524288,80,196.36,2670.14,117.08,4478.06
1048576,40,328.21,3194.89,279.87,3746.63
2097152,20,624.64,3357.47,605.46,3463.75
4194304,10,1237.49,3389.42,1256.63,3337.75
8388608,5,2445.94,3429.78,2558.97,3278.12
16777216,2,5055.33,3318.85,5163.65,3249.1
33554432,1,10351.67,3241.59,10373.0,3234.78
67108864,1,20498.02,3274.4,20791.72,3227.67
134217728,1,40859.35,3285.83,41629.15,3224.13
268435456,1,82811.31,3242.63,83304.02,3222.36
536870912,1,167135.58,3212.64,166653.76,3221.48
