mpirun  --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
#lambda[usec] (computed) -> -126.14, bandwidth[Mbytes/sec] (computed) -> 3985.12
#bytes	#repetitions	t[usec]	Mbytes/sec	t[usec] (computed)	Mbytes/sec (computed)
0	1000	0.53	0.0	-126.14	-0.0
1	1000	0.61	1.63	-126.13	-0.01
2	1000	0.61	3.3	-126.13	-0.02
4	1000	0.61	6.55	-126.13	-0.03
8	1000	0.61	13.06	-126.13	-0.06
16	1000	0.65	24.73	-126.13	-0.13
32	1000	0.72	44.16	-126.13	-0.25
64	1000	0.86	74.57	-126.12	-0.51
128	1000	0.96	133.51	-126.1	-1.02
256	1000	1.23	207.88	-126.07	-2.03
512	1000	1.08	473.93	-126.01	-4.06
1024	1000	1.4	732.97	-125.88	-8.13
2048	1000	1.63	1252.72	-125.62	-16.3
4096	1000	2.72	1504.29	-125.11	-32.74
8192	1000	3.35	2445.57	-124.08	-66.02
16384	1000	3.6	4548.07	-122.02	-134.27
32768	1000	5.02	6521.79	-117.9	-277.92
65536	640	6.1	10740.1	-109.67	-597.55
131072	320	11.33	11570.08	-93.21	-1406.14
262144	160	19.35	13545.18	-60.29	-4347.85
524288	80	38.9	13479.03	5.55	94475.82
1048576	40	89.05	11775.59	137.23	7640.79
2097152	20	216.35	9693.34	400.6	5234.99
4194304	10	397.92	10540.48	927.34	4522.94
8388608	5	867.92	9665.2	1980.82	4234.92
16777216	2	3179.32	5276.99	4087.77	4104.25
33554432	1	8343.23	4021.76	8301.67	4041.89
67108864	1	16837.35	3985.71	16729.48	4011.41
134217728	1	33725.7	3979.69	33585.1	3996.35
268435456	1	67309.27	3988.09	67296.33	3988.86
536870912	1	134711.7	3985.33	134718.8	3985.12
