mpirun  --map-by socket --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -102.87, bandwidth[Mbytes/sec] (computed) -> 5621.26
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.4,0.0,-102.87,-0.0
1,1000,0.4,2.51,-102.87,-0.01
2,1000,0.4,5.03,-102.87,-0.02
4,1000,0.4,10.07,-102.87,-0.04
8,1000,0.4,20.04,-102.87,-0.08
16,1000,0.4,39.95,-102.86,-0.16
32,1000,0.56,56.41,-102.86,-0.31
64,1000,0.56,114.38,-102.86,-0.62
128,1000,0.87,146.83,-102.84,-1.24
256,1000,0.91,282.81,-102.82,-2.49
512,1000,1.11,461.46,-102.78,-4.98
1024,1000,1.31,783.97,-102.68,-9.97
2048,1000,2.09,979.49,-102.5,-19.98
4096,1000,3.02,1359.0,-102.14,-40.1
8192,1000,4.86,1684.89,-101.41,-80.78
16384,1000,7.68,2137.61,-99.95,-163.92
32768,1000,13.6,2412.39,-97.03,-337.71
65536,640,24.97,2627.76,-91.2,-718.63
131072,320,47.22,2780.2,-79.52,-1648.2
262144,160,14.04,18797.01,-56.18,-4665.97
524288,80,25.43,20779.46,-9.5,-55202.43
1048576,40,55.78,18834.53,83.87,12502.15
2097152,20,144.4,14526.14,270.61,7749.72
4194304,10,298.05,14074.68,644.09,6512.02
8388608,5,619.12,13552.92,1391.04,6030.46
16777216,2,1907.69,8795.76,2884.95,5815.43
33554432,1,5607.43,5984.51,5872.76,5713.57
67108864,1,12010.67,5587.84,11848.39,5663.97
134217728,1,23975.84,5598.57,23799.64,5639.48
268435456,1,47810.76,5614.98,47702.16,5627.32
536870912,1,95450.85,5624.99,95507.18,5621.26
