mpirun  --map-by socket --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -107.09, bandwidth[Mbytes/sec] (computed) -> 5629.43
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.41,0.0,-107.09,-0.0
1,1000,0.4,2.48,-107.09,-0.01
2,1000,0.4,4.97,-107.09,-0.02
4,1000,0.4,10.01,-107.09,-0.04
8,1000,0.4,20.04,-107.09,-0.07
16,1000,0.41,39.48,-107.09,-0.15
32,1000,0.56,56.89,-107.09,-0.3
64,1000,0.56,115.01,-107.08,-0.6
128,1000,0.89,144.52,-107.07,-1.2
256,1000,0.93,274.81,-107.05,-2.39
512,1000,1.12,455.85,-107.0,-4.78
1024,1000,1.32,771.69,-106.91,-9.58
2048,1000,2.11,969.98,-106.73,-19.19
4096,1000,3.03,1349.67,-106.37,-38.51
8192,1000,4.89,1675.16,-105.64,-77.55
16384,1000,7.61,2155.86,-104.18,-157.27
32768,1000,13.46,2436.79,-101.27,-323.58
65536,640,24.75,2648.71,-95.44,-686.68
131072,320,46.69,2808.55,-83.78,-1564.4
262144,160,14.75,17803.72,-60.47,-4334.79
524288,80,26.9,19558.95,-13.86,-37839.81
1048576,40,57.14,18370.64,79.38,13209.15
2097152,20,144.65,14508.39,265.86,7888.22
4194304,10,299.66,13997.26,638.81,6565.8
8388608,5,620.58,13518.3,1384.72,6058.0
16777216,2,1926.88,8707.91,2876.52,5832.46
33554432,1,5596.74,5996.03,5860.14,5725.87
67108864,1,11933.58,5623.56,11827.38,5674.03
134217728,1,23927.82,5609.56,23761.84,5648.46
268435456,1,47564.35,5643.64,47630.78,5635.76
536870912,1,95408.21,5627.33,95368.66,5629.43
