mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -38.61, bandwidth[Mbytes/sec] (computed) -> 6278.52
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.25             0                -38.61                       -0
        1            1000       0.25          3.98                -38.61                    -0.03
        2            1000       0.25           7.9                -38.61                    -0.05
        4            1000       0.25         16.04                -38.61                     -0.1
        8            1000       0.25         32.13                 -38.6                    -0.21
       16            1000       0.25         64.27                 -38.6                    -0.41
       32            1000       0.29        109.15                 -38.6                    -0.83
       64            1000       0.29        219.94                 -38.6                    -1.66
      128            1000       0.38        334.82                -38.59                    -3.32
      256            1000       0.44        579.84                -38.57                    -6.64
      512            1000       0.48       1080.18                -38.52                   -13.29
     1024            1000        0.6       1717.09                -38.44                   -26.64
     2048            1000       0.83        2462.8                -38.28                    -53.5
     4096            1000       1.22       3373.72                -37.95                  -107.92
     8192            1000          2       4102.68                 -37.3                  -219.62
    16384            1000       3.64        4503.1                   -36                  -455.17
    32768            1000       4.46       7355.96                -33.38                  -981.53
    65536             640       6.03         10873                -28.16                 -2327.01
   131072             320       8.48       15466.3                -17.72                  -7396.7
   262144             160      12.46       21043.1                  3.17                  82816.7
   524288              80      24.32       21567.2                 44.94                  11667.2
  1048576              40       50.8       20647.4                128.48                  8161.43
  2097152              20     134.79       15559.1                295.57                   7095.4
  4194304              10     304.83       13760.2                629.74                  6660.42
  8388608               5     910.47       9214.02               1298.08                  6462.33
 16777216               2     2389.5       7021.32               2634.76                  6367.64
 33554432               1    5353.75        6267.6               5308.13                  6321.33
 67108864               1    10845.4       6187.81               10654.9                  6298.42
134217728               1    21562.8        6224.6               21348.3                  6287.03
268435456               1    42930.8       6252.84               42735.3                  6281.35
536870912               1    85348.2       6290.47               85509.2                  6278.52
