mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -3.88, bandwidth[Mbytes/sec] (computed) -> 4222.45
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       2.07             0                 -3.88                       -0
        1            1000       2.18           0.5                 -3.88                    -0.26
        2            1000       2.16          1.02                 -3.88                    -0.51
        4            1000       2.21          1.99                 -3.88                    -1.03
        8            1000       2.18          4.01                 -3.88                    -2.06
       16            1000       2.21          7.84                 -3.88                    -4.12
       32            1000       2.21         15.89                 -3.88                    -8.25
       64            1000        2.1         33.14                 -3.87                   -16.54
      128            1000       1.99         69.88                 -3.85                   -33.21
      256            1000        2.1         129.5                 -3.82                   -66.95
      512            1000       2.17        254.76                 -3.76                  -136.05
     1024            1000       2.19        502.48                 -3.64                  -281.16
     2048            1000       2.37        914.23                  -3.4                  -602.44
     4096            1000       2.77       1536.96                 -2.91                 -1405.39
     8192            1000       2.99       2795.69                 -1.94                 -4213.12
    16384            1000       3.34       4932.91                    -0             -3.86452e+06
    32768            1000       4.16       7900.94                  3.88                  8453.89
    65536             640       5.63       11672.1                 11.64                  5631.82
   131072             320        8.6         15260                 27.16                  4826.27
   262144             160      14.28       18371.4                  58.2                  4504.14
   524288              80      30.88       16981.5                120.29                  4358.68
  1048576              40      84.41       12423.5                244.46                  4289.42
  2097152              20     193.14       10858.4                 492.8                  4255.61
  4194304              10     483.39       8677.25                989.48                   4238.9
  8388608               5    1699.24       4936.72               1982.84                   4230.6
 16777216               2    3977.15       4218.41               3969.57                  4226.46
 33554432               1    8105.61       4139.75               7943.03                  4224.39
 67108864               1    16257.4       4127.95               15889.9                  4223.36
134217728               1    32409.8       4141.33               31783.8                  4222.84
268435456               1    64280.4       4176.05               63571.4                  4222.58
536870912               1     126589        4241.1                127147                  4222.45
