mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -183.04, bandwidth[Mbytes/sec] (computed) -> 5272.17
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000        0.5             0               -183.04                       -0
        1            1000       0.52          1.94               -183.04                    -0.01
        2            1000       0.56          3.66               -183.04                    -0.01
        4            1000       0.54          7.54               -183.04                    -0.02
        8            1000       0.51         15.67               -183.04                    -0.04
       16            1000       0.51         31.48               -183.03                    -0.09
       32            1000       0.52         61.31               -183.03                    -0.17
       64            1000       0.51         124.8               -183.02                    -0.35
      128            1000       0.55        233.48               -183.01                     -0.7
      256            1000       0.54        477.37               -182.99                     -1.4
      512            1000       0.71        720.73               -182.94                     -2.8
     1024            1000       0.74       1382.87               -182.84                     -5.6
     2048            1000       0.89       2301.19               -182.65                   -11.21
     4096            1000       1.14       3593.51               -182.26                   -22.47
     8192            1000        1.5       5460.54               -181.48                   -45.14
    16384            1000       2.33       7020.23               -179.92                   -91.06
    32768            1000       3.46       9458.93               -176.81                  -185.33
    65536             640       5.69         11525               -170.58                  -384.19
   131072             320       8.65         15152               -158.13                  -828.88
   262144             160      14.86       17636.7               -133.23                 -1967.67
   524288              80      41.38       12671.4                -83.41                 -6285.38
  1048576              40      81.29       12899.7                 16.21                  64689.4
  2097152              20     154.02       13616.3                215.46                  9733.56
  4194304              10     380.29       11029.8                613.95                  6831.68
  8388608               5    1105.44       7588.59               1410.93                  5945.43
 16777216               2    2540.38       6604.55               3004.91                  5583.27
 33554432               1    5911.35       5676.28               6192.85                  5418.25
 67108864               1      11836       5669.93               12568.7                  5339.35
134217728               1    23799.6       5639.52               25320.5                  5300.75
268435456               1    49411.4       5432.67               50824.1                  5281.66
536870912               1     103048       5209.92                101831                  5272.17
