mpiexec -n 2 -ppn 1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
#lambda[usec] (computed) -> -21.53, bandwidth[Mbytes/sec] (computed) -> 2887.05
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       9.26             0                -21.53                       -0
        1            1000       9.08          0.11                -21.53                    -0.05
        2            1000       8.88          0.22                -21.53                    -0.09
        4            1000        8.8          0.46                -21.53                    -0.19
        8            1000       8.75          0.92                -21.53                    -0.37
       16            1000       8.78          1.83                -21.53                    -0.74
       32            1000       8.55          3.75                -21.52                    -1.49
       64            1000       8.53          7.52                -21.51                    -2.98
      128            1000       8.53         15.02                -21.49                    -5.96
      256            1000       8.66         29.56                -21.44                   -11.94
      512            1000      11.21         45.71                -21.36                   -23.98
     1024            1000      11.55         88.74                -21.18                   -48.35
     2048            1000      13.75        149.07                -20.82                   -98.35
     4096            1000      15.05        272.61                -20.11                  -203.64
     8192            1000      17.16         477.6                -18.69                   -438.2
    16384            1000      27.13         604.1                -15.86                 -1033.24
    32768            1000      39.24        836.66                -10.18                 -3218.47
    65536             640      67.45        973.73                  1.17                  56009.4
   131072             320     125.81       1043.92                 23.87                  5490.45
   262144             160     160.59       1633.85                 69.28                  3783.94
   524288              80     240.51       2183.52                160.09                  3274.99
  1048576              40     396.93       2647.46                341.71                  3068.62
  2097152              20     709.21        2962.7                704.95                  2974.89
  4194304              10    1338.86       3135.02               1431.44                  2930.14
  8388608               5    2751.43        3054.1               2884.41                  2908.26
 16777216               2    5845.38       2874.88               5790.35                  2897.45
 33554432               1    11580.2       2902.76               11602.2                  2892.07
 67108864               1    23181.3       2902.35                 23226                  2889.39
134217728               1    46233.5       2909.79               46473.5                  2888.05
268435456               1      91856       2931.92               92968.5                  2887.38
536870912               1     186583       2886.18                185959                  2887.05
