mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -1.56, bandwidth[Mbytes/sec] (computed) -> 4285.12
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.68             0                 -1.56                       -0
        1            1000       0.67          1.49                 -1.56                    -0.64
        2            1000       0.69          2.92                 -1.56                    -1.28
        4            1000       0.67          6.02                 -1.56                    -2.57
        8            1000       0.68         11.77                 -1.56                    -5.14
       16            1000       0.66          24.1                 -1.56                   -10.29
       32            1000       0.71         45.07                 -1.55                   -20.63
       64            1000       0.71         90.69                 -1.54                   -41.45
      128            1000       0.74        171.79                 -1.53                   -83.71
      256            1000       0.73        351.15                  -1.5                  -170.77
      512            1000       1.14        448.93                 -1.44                  -355.71
     1024            1000       1.25        817.15                 -1.32                  -775.81
     2048            1000       1.35       1517.67                 -1.08                 -1894.65
     4096            1000       1.78        2299.5                  -0.6                 -6792.74
     8192            1000       2.29       3578.79                  0.35                  23214.5
    16384            1000       3.24       5052.82                  2.26                   7234.7
    32768            1000       5.38        6095.4                  6.09                  5382.25
    65536             640       9.44       6946.32                 13.74                   4771.4
   131072             320      18.13       7230.44                 29.03                  4515.17
   262144             160      34.67       7560.99                 59.62                  4397.11
   524288              80      84.79       6183.39                120.79                  4340.36
  1048576              40     170.68        6143.4                243.15                  4312.54
  2097152              20      337.7       6210.19                487.85                  4298.75
  4194304              10     670.26       6257.76                977.26                   4291.9
  8388608               5    1390.01       6034.95               1956.08                  4288.48
 16777216               2     3750.6       4473.32               3913.72                  4286.77
 33554432               1    7957.43       4216.75                  7829                  4285.92
 67108864               1      15911       4217.79               15659.6                  4285.49
134217728               1    31863.1       4212.33               31320.7                  4285.28
268435456               1    63715.5       4213.03               62642.9                  4285.17
536870912               1     124593       4308.99                125287                  4285.12
