mpirun  --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -45.9, bandwidth[Mbytes/sec] (computed) -> 4497.62
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.25             0                 -45.9                       -0
        1            1000       0.28          3.62                 -45.9                    -0.02
        2            1000       0.28          7.23                 -45.9                    -0.04
        4            1000       0.28         14.43                 -45.9                    -0.09
        8            1000       0.28         28.84                -45.89                    -0.17
       16            1000       0.29         54.44                -45.89                    -0.35
       32            1000       0.29        109.67                -45.89                     -0.7
       64            1000       0.33        193.24                -45.88                    -1.39
      128            1000       0.37        344.36                -45.87                    -2.79
      256            1000       0.45         566.9                -45.84                    -5.58
      512            1000       0.61        833.06                -45.78                   -11.18
     1024            1000       0.72       1419.32                -45.67                   -22.42
     2048            1000       0.88        2325.9                -45.44                   -45.07
     4096            1000       1.74       2354.54                -44.99                   -91.05
     8192            1000       2.05        4010.2                -44.07                  -185.87
    16384            1000       2.63       6232.19                -42.25                  -387.77
    32768            1000       3.57       9204.11                -38.61                  -848.74
    65536             640       5.41       12160.1                -31.32                 -2092.49
   131072             320       9.86       13353.4                -16.74                  -7828.6
   262144             160      18.76       13985.5                 12.41                  21121.9
   524288              80      38.28       13703.9                 70.72                  7413.74
  1048576              40      90.27       11623.7                187.33                  5597.38
  2097152              20     217.59       9641.69                420.56                  4986.53
  4194304              10     439.01       9554.51                887.02                  4728.52
  8388608               5    1512.91       5544.77               1819.94                  4609.27
 16777216               2    3731.88       4495.67               3685.78                  4551.88
 33554432               1     7493.7       4477.75               7417.46                  4523.71
 67108864               1    14948.3       4489.42               14880.8                  4509.76
134217728               1    29863.5       4494.38               29807.5                  4502.82
268435456               1    59681.8       4497.78               59660.9                  4499.35
536870912               1     119338       4498.75                119368                  4497.62
