mpirun  --map-by core --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -48.49, bandwidth[Mbytes/sec] (computed) -> 6441.88
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000        0.2             0                -48.49                       -0
        1            1000        0.2             5                -48.49                    -0.02
        2            1000        0.2         10.16                -48.49                    -0.04
        4            1000        0.2         20.54                -48.49                    -0.08
        8            1000       0.19         41.52                -48.49                    -0.16
       16            1000       0.19         85.09                -48.49                    -0.33
       32            1000       0.23           142                -48.48                    -0.66
       64            1000       0.23        284.07                -48.48                    -1.32
      128            1000       0.31        410.75                -48.47                    -2.64
      256            1000       0.34        752.57                -48.45                    -5.28
      512            1000        0.4       1268.41                -48.41                   -10.58
     1024            1000       0.49       2075.77                -48.33                   -21.19
     2048            1000       0.74       2742.32                -48.17                   -42.52
     4096            1000       1.14       3616.27                -47.85                    -85.6
     8192            1000        1.9       4322.89                -47.22                   -173.5
    16384            1000       3.05       5372.61                -45.94                   -356.6
    32768            1000       4.94       6644.17                 -43.4                  -755.03
    65536             640       8.32       7881.94                -38.31                 -1710.68
   131072             320         15       8750.12                -28.13                  -4659.4
   262144             160      13.53       19462.4                 -7.77                 -33729.5
   524288              80      24.58       21476.6                 32.95                  15913.9
  1048576              40      55.53       18901.5                114.38                  9167.47
  2097152              20     143.62       14610.8                277.25                  7564.13
  4194304              10     310.01       13543.6                602.99                  6955.86
  8388608               5     874.64       9592.45               1254.47                  6686.99
 16777216               2    2299.44       7296.66               2557.42                  6560.21
 33554432               1    5191.08       6463.93               5163.33                   6498.6
 67108864               1    10439.9       6428.18               10375.1                  6468.23
134217728               1    20894.2        6423.7               20798.8                  6453.15
268435456               1    41686.8       6439.35               41646.1                  6445.64
536870912               1    83303.5       6444.77               83340.7                  6441.88
