mpirun  --map-by core --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -42.38, bandwidth[Mbytes/sec] (computed) -> 6457.12
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000        0.2             0                -42.38                       -0
        1            1000       0.21          4.92                -42.38                    -0.02
        2            1000       0.19         10.35                -42.38                    -0.05
        4            1000       0.19         20.63                -42.38                    -0.09
        8            1000       0.19         42.42                -42.38                    -0.19
       16            1000       0.19         84.32                -42.37                    -0.38
       32            1000       0.22        142.48                -42.37                    -0.76
       64            1000       0.22        287.04                -42.37                    -1.51
      128            1000       0.31        419.06                -42.36                    -3.02
      256            1000       0.33        773.24                -42.34                    -6.05
      512            1000       0.38       1328.87                 -42.3                    -12.1
     1024            1000       0.49       2085.01                -42.22                   -24.25
     2048            1000       0.74       2758.48                -42.06                   -48.69
     4096            1000       1.12       3650.59                -41.74                   -98.13
     8192            1000       1.87        4380.9                -41.11                  -199.28
    16384            1000          3       5472.54                -39.84                  -411.26
    32768            1000       4.82       6804.76                 -37.3                  -878.51
    65536             640        8.2       7998.39                -32.22                 -2033.87
   131072             320      14.75       8890.21                -22.07                 -5939.53
   262144             160      13.53         19450                 -1.76                  -149070
   524288              80      24.55         21523                 38.86                  13491.8
  1048576              40      54.96       19133.1                 120.1                   8731.1
  2097152              20     143.56       14618.5                282.57                   7421.7
  4194304              10     307.85         13630                607.52                  6904.01
  8388608               5     869.41       9649.24               1257.41                  6671.33
 16777216               2    2295.22          7310                2557.2                  6560.78
 33554432               1    5252.75       6388.29               5156.78                  6506.86
 67108864               1    10454.2       6419.38               10355.9                  6480.24
134217728               1    20878.1       6428.65               20754.2                     6467
268435456               1      41680        6440.4               41550.8                  6460.41
536870912               1    83047.5       6464.72               83144.1                  6457.12
