mpirun  --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
#lambda[usec] (computed) -> 95.78, bandwidth[Mbytes/sec] (computed) -> 2815.84
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000      16.05             0                 95.78                        0
        1            1000      16.08          0.06                 95.78                     0.01
        2            1000      16.07          0.12                 95.78                     0.02
        4            1000      16.07          0.25                 95.78                     0.04
        8            1000      16.07           0.5                 95.78                     0.08
       16            1000      16.05             1                 95.78                     0.17
       32            1000      16.04             2                 95.79                     0.33
       64            1000      16.13          3.97                  95.8                     0.67
      128            1000      16.77          7.63                 95.82                     1.34
      256            1000      16.87         15.19                 95.87                     2.67
      512            1000      16.97         30.18                 95.96                     5.34
     1024            1000      17.66         58.02                 96.14                    10.65
     2048            1000      38.88         52.69                 96.51                    21.22
     4096            1000      39.32        104.17                 97.23                    42.13
     8192            1000      40.45        202.57                 98.69                    83.01
    16384            1000      42.52        385.45                101.59                   161.27
    32768            1000       49.3         665.4                107.41                   305.08
    65536             640      61.54       1065.07                119.04                   550.53
   131072             320      113.5       1155.13                 142.3                   921.08
   262144             160     153.98       1718.59                188.83                  1388.27
   524288              80     226.71        2353.3                281.88                  1859.99
  1048576              40     361.24       2963.91                467.98                  2240.66
  2097152              20     680.86       3123.63                840.17                   2496.1
  4194304              10    1356.03        3156.6               1584.57                  2646.97
  8388608               5    3017.69        2841.3               3073.36                  2729.46
 16777216               2    6176.21       2765.69               6050.94                  2772.66
 33554432               1    12517.8       2726.48               12006.1                  2794.78
 67108864               1    24646.6       2769.53               23916.4                  2805.98
134217728               1    48337.1       2822.55                 47737                  2811.61
268435456               1    95932.6       2845.32               95378.3                  2814.43
536870912               1     190110       2874.99                190661                  2815.84
